	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
COBL	NM_015198	3.9937435	3.81244439	4.221931837	3.777539559	P	A	P	A	1.919795073	1.921291686	1.913975886	1.93090797	A	A	A	A	1.977042322	1.978445267	1.972912378	1.975775435	A	A	A	A	0.6823	0.4801	0.4934	0.9996	0.8749	0.4480	1.0000	1.0000	1.0000
COBLL1	NM_014900	8.696758993	9.064148825	8.669412593	7.843223214	P	P	P	P	2.555613859	2.554507691	2.534725454	2.56993646	P	P	P	P	2.550845493	2.550662482	2.545820936	2.541109437	A	A	A	A	0.0014	0.9999	0.0000	0.9996	0.5814	0.4942	1.0000	1.0000	1.0000
COBRA1	NM_015456	8.684909564	8.608285922	8.743227545	8.731490824	P	P	P	P	8.829862123	8.68107112	8.991556353	9.007521323	P	P	P	P	9.704723172	9.676147152	9.684263959	9.64145212	P	P	P	P	0.7582	0.9325	0.9297	0.3939	0.2138	0.1136	1.0000	1.0000	0.8800
COCH	NM_004086	10.46040766	10.07832046	10.05337289	9.984636551	P	P	P	P	2.604406106	2.609377078	2.592167768	2.637416003	A	A	A	A	2.699782271	2.704936588	2.701782772	2.69652072	A	A	A	A	0.0104	0.0049	0.0013	0.9996	0.8671	0.2488	1.0000	1.0000	1.0000
COG1	NM_018714	7.871307878	8.196427709	8.555185117	8.499993861	P	P	P	P	7.822800385	7.731149432	7.479949188	7.379881689	P	P	P	P	8.37253726	8.249460284	8.337129572	8.155794521	P	P	P	P	0.0398	0.0002	0.0003	0.5037	0.0016	0.0002	0.8385	1.0000	0.1860
COG2	NM_007357	7.227621317	7.114369409	6.864318278	6.644069502	P	P	P	P	5.282475068	5.36812207	4.755662802	4.736566966	P	P	P	P	6.857226882	6.72879147	6.643497883	6.572539554	P	P	P	P	0.8215	0.0573	0.0029	0.9996	0.3075	0.1858	0.9262	0.3620	0.1297
COG3	NM_031431	5.621662821	5.738660322	5.684374487	5.933234741	P	P	P	P	4.631755365	4.56055957	4.682344213	4.605623064	P	P	P	P	3.644856878	3.55078142	3.553224575	3.491849551	P	P	P	P	0.2727	0.7301	0.0013	0.9996	0.8901	0.8829	0.9589	0.8371	0.3422
COG4	NM_015386	4.465699734	4.409882189	4.214489571	4.341489208	A	P	P	A	7.045101544	6.834039852	7.001589183	7.10843828	P	P	P	P	5.907184316	5.835414565	5.939679008	5.949319377	A	P	P	P	0.9214	0.1432	0.6199	0.0800	0.8518	0.4201	0.9120	1.0000	1.0000
COG5	NM_006348	8.217552337	8.020433042	8.2375579	8.36003545	P	P	P	P	8.051031738	8.132703899	8.015747731	7.992737279	P	P	P	P	8.282737267	8.250115642	8.260081761	8.072324272	P	P	P	P	0.3224	0.9999	0.5166	0.6932	0.8709	0.4565	1.0000	1.0000	0.3751
COG6	NM_020751	6.682437922	6.070020376	6.692346108	7.207274783	P	P	P	P	8.060891824	7.927747321	8.246986831	8.153679032	P	P	P	P	8.358486481	8.646031627	8.586307928	8.398008823	P	P	P	P	0.0021	0.9999	0.0037	0.6307	0.2467	0.4316	0.6800	0.7051	1.0000
COG7	NM_153603	7.854337859	7.923753317	7.910325215	7.471992526	P	P	P	P	7.134263043	6.990933229	6.994366975	7.020245464	P	P	P	P	4.936973078	4.695223927	4.452433301	4.360524696	P	P	P	A	0.9257	0.9999	0.0993	0.8913	0.7546	0.5270	0.3670	0.0182	0.0053
COG8	NM_032382	9.688255382	9.383004416	9.083494387	8.887155525	P	P	P	P	6.987263822	6.618467932	6.007792488	6.024158036	P	P	P	P	8.17600956	7.85898267	7.860249683	7.740639715	P	P	P	P	0.0674	0.0006	0.0000	0.0394	0.0001	0.0000	0.2928	0.1919	0.0468
COIL	NM_004645	6.321859487	6.652724948	6.606257081	6.342351716	P	P	P	P	7.052344662	6.925095475	7.059138534	6.88355927	P	P	P	P	7.979267805	8.008904816	7.872050434	8.026623012	P	P	P	P	0.4469	0.5420	1.0000	0.6663	0.9758	0.2016	1.0000	1.0000	1.0000
COL10A1	NM_000493	2.630452989	2.644898035	2.639698192	2.627011369	A	A	A	A	5.646250627	5.525600389	5.530920075	5.61268503	P	P	P	P	2.654716503	2.662627138	2.661924203	2.656788642	A	A	A	A	0.8753	0.9999	1.0000	0.7011	0.5834	0.7700	1.0000	1.0000	1.0000
COL11A1	NM_001854	2.657421017	2.6730448	2.665631118	2.633969916	A	A	A	A	2.882583292	2.945257739	2.935449551	3.201861393	A	A	P	P	2.649726393	2.653604462	2.644721046	2.657586112	A	A	A	A	0.9126	0.9999	0.7369	0.6969	0.6703	0.0007	1.0000	1.0000	1.0000
COL11A2	NM_080679	4.011506804	4.072099097	4.011226204	4.011951868	P	P	P	P	2.024257632	2.101151764	2.016801647	2.034688677	P	A	P	P	2.563680393	2.56392107	2.56232731	2.57644185	A	P	P	P	0.4247	0.9999	1.0000	0.5921	0.9508	0.8688	1.0000	1.0000	1.0000
COL12A1	NM_004370	2.463700525	2.470373809	2.465338457	2.454063073	A	A	A	A	5.34341953	5.361013582	5.374710145	5.338587348	P	P	P	P	8.121491789	8.173774982	8.371173894	8.342195035	P	P	P	P	0.9274	0.9999	0.9289	0.9996	0.7086	0.8960	1.0000	0.3677	0.3867
COL13A1	NM_005203	2.59553171	2.599262893	2.596065911	2.579409748	A	A	A	A	4.946059797	5.04514983	5.22973314	5.560687253	P	P	P	P	10.22777876	10.17439221	10.35943661	10.45870943	P	P	P	P	0.9698	0.9999	0.6792	0.7472	0.0379	0.0003	1.0000	0.3821	0.0526
COL14A1	NM_021110	2.627873702	2.643502578	2.630585015	2.620678822	A	A	A	A	2.635554872	2.641562389	2.624589874	2.66598827	A	A	A	A	2.531862991	2.53654217	2.531835547	2.546288267	A	A	A	A	0.7653	0.9999	0.9990	0.9996	0.8559	0.1928	1.0000	1.0000	1.0000
COL15A1	NM_001855	2.323117455	2.328517162	2.322050807	2.315989756	A	A	A	A	8.187904162	8.351981128	8.703581528	8.729524075	P	P	P	P	2.238590018	2.238169003	2.235968747	2.234857017	A	A	A	A	0.9297	0.9999	0.9614	0.3939	0.0020	0.0009	1.0000	1.0000	1.0000
COL16A1	NM_001856	5.108517151	4.749422717	4.718300401	4.757054131	A	A	A	A	7.006367636	7.032562552	7.062678877	7.231689757	P	P	P	P	3.452550987	3.545847537	3.429089832	3.481739713	A	A	A	A	0.2390	0.1614	0.2120	0.9996	0.8422	0.0454	0.8681	1.0000	1.0000
COL17A1	NM_000494	1.944696364	1.940979801	1.945199787	1.943583457	A	A	A	A	1.870849393	1.872911887	1.866281736	1.880109951	A	A	A	A	2.466165924	2.46523265	2.462229242	2.458553268	A	A	A	A	0.9270	0.9999	1.0000	0.9996	0.8878	0.5293	1.0000	1.0000	1.0000
COL18A1	NM_030582	7.662484836	7.815594564	7.901854639	7.907495274	P	P	P	P	2.27905361	2.279382054	2.264533661	2.294672341	A	A	A	A	10.50072263	10.35552657	10.51206921	10.39942224	P	P	P	P	0.1401	0.0130	0.0100	0.9996	0.7179	0.3921	0.3627	1.0000	0.4410
COL19A1	NM_001858	2.322725487	2.364357862	2.318462184	2.325623427	A	A	A	A	2.705445401	2.620461177	2.618761594	2.633891252	A	A	A	A	2.645456481	2.635200669	2.632079695	2.632435594	A	A	A	A	0.4768	0.9999	1.0000	0.5713	0.4080	0.3282	1.0000	1.0000	1.0000
COL1A1	NM_000088	2.555892625	2.561216289	2.562806113	2.546491117	A	A	A	A	9.022134328	8.876529894	8.834276664	8.804675171	P	P	P	P	3.248413079	3.254549317	3.234860682	3.278634028	P	P	P	P	0.9451	0.9999	0.9425	0.5015	0.1944	0.0878	1.0000	1.0000	0.9686
COL1A2	NM_000089	2.777869398	2.815130423	2.77764815	2.774866866	A	A	A	A	9.889359908	9.788529408	9.936086471	10.0616235	P	P	P	P	3.419823248	3.355868288	3.349632516	3.353439654	P	P	P	P	0.2226	0.9999	1.0000	0.5377	0.8442	0.0648	0.3702	0.1963	0.1793
COL20A1	NM_020882	2.909269379	2.946686464	2.93504156	2.886038056	A	A	A	A	2.924999439	2.975218414	2.915767371	3.006140854	A	A	A	A	3.101938898	3.078603621	3.054966643	3.087624609	A	A	A	A	0.7527	0.9810	0.9219	0.7799	0.9284	0.1883	1.0000	0.9161	1.0000
COL21A1	NM_030820	2.766700519	2.747174279	2.742167188	2.710853926	A	A	A	A	2.733825839	2.75050909	2.719028663	2.801261435	A	A	A	A	2.79359343	2.78238736	2.769804888	2.80631951	A	A	A	A	0.9126	0.9158	0.2756	0.9996	0.8754	0.1225	1.0000	1.0000	1.0000
COL22A1	NM_152888	2.183901736	2.193191765	2.186267194	2.182329664	A	A	A	A	2.428994734	2.435856007	2.488104986	2.46338311	P	P	P	P	2.097623771	2.100984239	2.094986635	2.099229265	A	A	A	A	0.8515	0.9999	1.0000	0.9996	0.1991	0.3387	1.0000	1.0000	1.0000
COL23A1	NM_173465	1.893159627	1.896869738	1.893902828	1.892041816	A	A	A	A	1.811641443	1.816025598	1.806848765	1.823114651	A	A	A	A	1.727986154	1.730482885	1.727656457	1.725880476	A	A	A	A	0.9347	0.9999	1.0000	0.9996	0.8855	0.4411	1.0000	1.0000	1.0000
COL24A1	NM_152890	2.545775052	2.557213325	2.550268889	2.536983555	A	A	A	A	2.537400993	2.546319067	2.524828983	2.584534894	A	A	A	A	2.540053466	2.550386979	2.546845365	2.546066764	A	A	A	A	0.9100	0.9999	0.9779	0.9996	0.8536	0.0878	1.0000	1.0000	1.0000
COL25A1	NM_032518	2.267298525	2.272702531	2.274715334	2.265507014	A	A	A	A	2.357414595	2.361824772	2.353084472	2.371409808	A	A	A	A	2.601712791	2.60364628	2.597042294	2.6009172	A	A	A	A	0.9261	0.9999	1.0000	0.9996	0.8906	0.3825	1.0000	1.0000	1.0000
COL27A1	NM_032888	6.17414306	6.409367582	6.042061235	5.838053847	P	P	P	P	1.983862789	1.987364763	1.985975951	2.000755931	A	A	A	A	1.925414585	1.926709525	1.922096626	1.923794332	A	A	A	A	0.4150	0.8351	0.1359	0.9996	0.9450	0.3343	1.0000	1.0000	1.0000
COL28A1	NM_001037763	2.560313618	2.554616994	2.546969009	2.527848245	A	A	A	A	2.533102391	2.557959432	2.51691477	2.601796005	A	A	A	A	2.546380872	2.543579294	2.541520504	2.540813238	A	A	A	A	0.9580	0.9999	0.3497	0.9394	0.8671	0.0914	1.0000	1.0000	1.0000
COL29A1	NM_153264	2.523371414	2.531467966	2.528313687	2.51609475	A	A	A	A	2.513115171	2.520016181	2.498725685	2.55125205	A	A	A	A	2.51821895	2.521443392	2.519100328	2.516956567	A	A	A	A	0.9219	0.9999	1.0000	0.9996	0.8515	0.1858	1.0000	1.0000	1.0000
COL2A1	NM_001844	6.60793587	6.638101601	6.248286078	6.061934446	P	P	P	P	2.334284093	2.338968659	2.321559752	2.360604743	A	A	A	A	2.311842282	2.319970296	2.313002745	2.316725862	A	A	A	A	0.9402	0.0058	0.0002	0.9996	0.8476	0.2720	1.0000	1.0000	1.0000
COL3A1	NM_000090	2.649295182	2.666268908	2.654368649	2.636818854	A	A	A	A	2.561680862	2.575726209	2.552164752	2.607387816	A	P	A	A	2.575050835	2.583186025	2.576988094	2.583889085	A	A	A	A	0.8362	0.9999	0.9191	0.9996	0.8795	0.1272	1.0000	1.0000	1.0000
COL4A1	NM_001845	2.26120809	2.263650522	2.260337727	2.255845207	A	A	A	A	2.273624987	2.275685898	2.265710566	2.300848454	A	A	A	A	4.284267223	4.284456323	4.300646756	4.285224292	P	P	P	P	0.9730	0.9999	0.9814	0.9996	0.8779	0.2336	1.0000	1.0000	1.0000
COL4A2	NM_001846	2.179950397	2.183609975	2.180154243	2.179352785	A	A	A	A	4.831507892	4.181380569	3.926510832	3.961701074	P	P	P	P	8.445410306	8.375246165	8.52057086	8.508224667	P	P	P	P	0.9406	0.9999	1.0000	0.0024	0.0001	0.0001	1.0000	0.9796	0.9762
COL4A3	NM_000091	2.414545291	2.421394304	2.414406637	2.406205171	A	A	A	A	2.521293994	2.528541275	2.511298422	2.553541625	A	A	A	A	2.522319718	2.52960172	2.525297982	2.525994905	A	A	A	A	0.9226	0.9999	0.9356	0.9996	0.8731	0.2175	1.0000	1.0000	1.0000
COL4A3BP	NM_005713	7.453133505	7.524142561	7.593840455	7.550504045	P	P	P	P	8.141587782	8.306790621	8.583675925	8.739317573	P	P	P	P	8.368031535	8.758327011	8.723092977	8.77853995	P	P	P	P	0.7194	0.1861	0.4267	0.1276	0.0004	0.0000	0.0103	0.0094	0.0031
COL4A4	NM_000092	2.374355236	2.382051182	2.375324391	2.367705197	A	A	A	A	2.350314329	2.353649428	2.342000233	2.378277561	A	A	A	A	2.328005814	2.334748061	2.332041082	2.330887351	A	A	A	A	0.9139	0.9999	0.9686	0.9996	0.8753	0.2329	1.0000	1.0000	1.0000
COL4A5	NM_000495	4.47085508	4.334020164	4.282394942	4.290200029	P	P	P	P	2.798692468	2.782819725	2.765598429	2.795971722	P	P	P	P	2.962328783	2.96478085	2.961517954	2.953850585	P	P	P	P	0.4059	0.1584	0.1716	0.9367	0.2774	0.8982	1.0000	1.0000	1.0000
COL4A6	NM_001847	2.274177887	2.300485502	2.276175999	2.267235119	A	A	A	A	2.036736448	2.038319837	2.027965439	2.048516375	A	A	A	A	1.985465742	1.989091223	1.983655803	1.987522227	A	A	A	A	0.0699	0.9999	0.8528	0.9996	0.8540	0.4697	1.0000	1.0000	1.0000
COL5A1	NM_000093	2.353884467	2.361208948	2.357383192	2.35222601	A	A	A	A	7.66414337	8.324887038	8.806685137	9.130885116	P	P	P	P	9.672330759	10.19752335	11.02323929	11.11978914	P	P	P	P	0.9162	0.9999	1.0000	0.0057	0.0001	0.0000	0.0002	0.0000	0.0000
COL5A2	NM_000393	2.599967951	2.620741168	2.607698059	2.59188457	A	A	A	A	7.809970618	7.99790989	8.471288244	8.793968474	P	P	P	P	2.623446245	2.623063693	2.618449832	2.635977671	A	A	A	A	0.6719	0.9999	1.0000	0.3730	0.0008	0.0000	1.0000	1.0000	1.0000
COL5A3	NM_015719	2.373471585	2.380975442	2.375400515	2.364432175	A	A	A	A	2.463007843	2.470895494	2.45848718	2.492306795	A	A	A	A	2.463940894	2.467977793	2.463152956	2.463163353	A	A	A	A	0.9670	0.9999	1.0000	0.9996	0.9067	0.2002	1.0000	1.0000	1.0000
COL6A1	NM_001848	2.592298935	2.603332535	2.595580644	2.59220188	A	A	A	A	9.426580941	9.574869817	9.927965582	10.245354	P	P	P	P	6.763349369	6.602082071	6.7231338	6.629393918	P	P	P	P	0.8257	0.9999	1.0000	0.7648	0.0200	0.0008	0.6587	1.0000	0.5485
COL6A2	NM_001849	2.115045892	2.121973956	2.116741492	2.112339009	A	A	A	A	12.32924425	12.40984806	12.53102034	12.77016617	P	P	P	P	9.185530777	9.131390539	9.389818202	9.247067268	P	P	P	P	0.9139	0.9999	1.0000	0.6986	0.0511	0.0005	1.0000	0.2432	1.0000
COL6A3	NM_004369	2.32500462	2.333560921	2.32785896	2.323726679	A	A	A	A	13.11830668	13.06774046	13.0913791	13.09048783	P	P	P	P	3.682185181	3.670184107	3.839978175	3.725738993	A	A	A	A	0.8969	0.9999	1.0000	0.3939	0.7086	0.4029	1.0000	0.5359	1.0000
COL7A1	NM_000094	3.157386837	3.290728793	3.413287521	3.546157726	A	A	A	P	8.184580361	8.466011793	8.645100303	8.951299087	P	P	P	P	7.226318308	7.589707098	8.137783039	8.345133048	P	P	P	P	0.9126	0.6135	0.2644	0.4246	0.0655	0.0036	0.3890	0.0063	0.0014
COL8A2	NM_005202	2.958477098	2.965981343	2.958709287	2.956889368	A	A	A	A	2.172039101	2.164389655	2.157213354	2.183816612	A	A	A	A	2.129363344	2.133136375	2.127386518	2.130951339	A	A	A	A	0.9214	0.9999	1.0000	0.9996	0.6085	0.4496	1.0000	1.0000	1.0000
COL9A1	NM_001851	2.207079844	2.209262174	2.205548347	2.203753636	A	A	A	A	2.16593618	2.166645948	2.156813096	2.177216265	A	A	A	A	2.123901119	2.130362136	2.124414392	2.125881504	A	A	A	A	0.9782	0.9999	1.0000	0.9996	0.8599	0.5195	1.0000	1.0000	1.0000
COL9A2	NM_001852	4.260583109	4.446166519	4.161340487	4.354409122	P	P	P	P	1.803230268	1.808479267	1.80069336	1.814165648	P	P	P	P	6.230445385	5.960611721	6.01618514	5.951545297	P	P	P	P	0.6321	0.9999	0.9305	0.9996	0.9263	0.4538	0.6804	0.7045	0.4027
COL9A3	NM_001853	9.372282086	9.317189605	9.383785598	9.595544951	P	P	P	P	2.349962407	2.353434012	2.338242195	2.377194646	A	A	A	A	2.216841876	2.222948914	2.215555541	2.213298797	A	A	A	A	0.9208	0.9999	0.1620	0.9996	0.8533	0.2542	1.0000	1.0000	1.0000
COLEC10	NM_006438	2.01337427	2.015240493	2.015617987	2.014144676	A	A	A	A	1.7997125	1.801079343	1.795054508	1.807250941	A	A	A	A	1.877998642	1.884448415	1.881362637	1.878266305	A	A	A	A	0.9782	0.9999	1.0000	0.9996	0.8854	0.5889	1.0000	1.0000	1.0000
COLEC11	NM_024027	2.365755403	2.363458985	2.362540736	2.379448964	A	A	A	A	1.924757949	1.930445241	1.918113232	1.940209686	A	A	A	A	2.29652753	2.296392426	2.288950159	2.298369668	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8714	0.3269	1.0000	1.0000	1.0000
COLEC12	NM_130386	2.524886138	2.536673356	2.528584452	2.515289529	A	A	A	A	2.482907806	2.493670224	2.477646571	2.526489855	A	A	A	A	2.490946685	2.491741829	2.488359508	2.506804126	A	P	P	P	0.9000	0.9999	0.9481	0.9996	0.9094	0.1252	1.0000	1.0000	1.0000
COLQ	NM_005677	2.075389001	2.078859881	2.076579545	2.071492915	A	A	A	A	2.012970821	2.015908426	2.005840381	2.031331443	A	A	A	A	1.951119051	1.957778744	1.950418168	1.953814681	A	A	A	A	0.9523	0.9999	1.0000	0.9996	0.8731	0.3001	1.0000	1.0000	1.0000
COMMD1	NM_152516	8.421868531	8.264098059	8.263441218	8.059769278	P	P	P	P	8.889351438	8.910470912	8.845019188	8.911559867	P	P	P	P	9.099559497	9.178919993	9.076402112	9.08778355	P	P	P	P	0.3786	0.3437	0.0104	0.9996	0.8566	0.7885	0.4866	1.0000	1.0000
COMMD10	NM_016144	7.24082433	7.478505349	7.463181259	6.967354104	P	P	P	P	8.591527052	8.491644979	8.554349941	8.463606394	P	P	P	P	9.458978667	9.520609182	9.459829672	9.502272444	P	P	P	P	0.2117	0.2252	0.1054	0.5373	0.8656	0.1495	1.0000	1.0000	1.0000
COMMD2	NM_016094	7.982290862	7.597132247	7.622437549	7.319463885	P	P	P	P	6.848971791	6.777448408	6.666439804	6.519689197	P	P	P	P	8.249671118	8.361369881	8.102485322	7.95271792	P	P	P	P	0.0587	0.0651	0.0013	0.9996	0.3743	0.0500	1.0000	0.6691	0.1148
COMMD3	NM_012071	7.893853115	6.876890307	6.939486711	7.23589858	P	P	P	P	9.864134266	9.788167592	9.920082694	10.00354645	P	P	P	P	9.620745377	9.834730911	9.868502793	9.835055197	P	P	P	P	0.0000	0.0000	0.0007	0.8581	0.8434	0.1843	0.1340	0.0435	0.0586
COMMD4	NM_017828	7.723878982	7.370455957	7.094162209	6.784702311	P	P	P	P	10.02165722	9.963630713	9.979705429	10.06378288	P	P	P	P	9.02098455	9.04948211	8.911733068	8.954909753	P	P	P	P	0.0156	0.0001	0.0000	0.8658	0.8456	0.5483	1.0000	0.8957	1.0000
COMMD5	NM_014066	6.579117741	6.23777074	6.530501738	6.428030344	P	P	P	P	5.398528902	4.917588919	4.759935125	4.811143658	P	P	P	P	7.381397034	7.330415446	7.27239675	7.247126101	P	P	P	P	0.0327	0.9999	0.4140	0.1746	0.0338	0.0336	1.0000	0.6066	0.3574
COMMD6	NM_203495	7.852990242	7.839347585	7.809822549	7.793263181	P	P	P	P	6.766948903	6.764792978	6.760472369	6.774504104	P	P	P	P	6.244590074	6.311645099	6.282117098	6.318571921	P	P	P	P	0.9306	0.5599	0.2830	0.9996	0.8671	0.5779	0.3061	0.6460	0.1132
COMMD7	NM_053041	6.826543153	6.782949619	6.731244959	6.734479191	P	P	P	P	8.161245684	8.087811176	8.060398781	8.093244608	P	P	P	P	8.329464238	8.329044911	8.312789286	8.314480984	P	P	P	P	0.8962	0.3983	0.4004	0.1071	0.0134	0.0533	1.0000	1.0000	1.0000
COMMD8	NM_017845	8.678313471	8.083137363	8.183210459	7.935028046	P	P	P	P	9.751831905	9.632377021	9.541988212	9.297094486	P	P	P	P	10.16352458	10.169976	10.00873001	9.955362253	P	P	P	P	0.0061	0.0142	0.0007	0.6941	0.1707	0.0041	1.0000	0.5132	0.2208
COMMD9	NM_014186	8.505079971	8.023367247	7.719193853	7.360793473	P	P	P	A	8.63701365	8.7667433	8.579001749	8.741405336	P	P	P	P	8.482560425	8.651499062	8.718251718	8.715240292	P	P	P	P	0.0130	0.0002	0.0000	0.5855	0.8537	0.3544	0.6683	0.2441	0.2006
COMP	NM_000095	2.304736271	2.31085538	2.322019282	2.320135048	A	A	A	A	2.269713469	2.27489262	2.260938865	2.290418803	A	A	A	A	2.241839422	2.247222788	2.240035887	2.246031691	A	A	A	A	0.9386	0.7329	0.7550	0.9996	0.8656	0.2957	1.0000	1.0000	1.0000
COMT	NM_000754	10.32911198	10.14646078	10.17111648	10.23599119	P	P	P	P	10.5161343	10.43561281	10.34651906	10.51295531	P	P	P	P	9.72865662	9.75781044	9.858177038	9.922140997	P	P	P	P	0.2577	0.3299	0.6954	0.4112	0.0203	0.9510	1.0000	0.2934	0.0643
COMTD1	NM_144589	4.804918364	4.604862871	4.4663902	4.510171861	P	P	P	P	2.989418935	2.998200526	3.032772383	3.003906923	P	P	P	P	5.945625244	5.983852307	6.066657465	6.113067528	P	P	P	P	0.6387	0.2126	0.2895	0.9996	0.2111	0.5640	1.0000	0.9692	0.6176
COP1	NM_052889	2.989788823	3.015490727	3.006864599	3.462491454	A	A	A	A	3.575151792	3.58568659	3.432994091	3.637234004	A	A	A	A	2.882797862	2.891135163	2.920457532	2.885736848	A	A	A	A	0.9850	0.9999	0.0415	0.9996	0.4372	0.5898	1.0000	1.0000	1.0000
COPA	NM_004371	9.702168047	9.781065077	9.891791548	10.17145903	P	P	P	P	9.741415649	9.773023161	9.891866959	10.08845615	P	P	P	P	9.916659708	9.748095822	9.896223225	9.893304523	P	P	P	P	0.5412	0.0299	0.0000	0.9996	0.2075	0.0043	1.0000	1.0000	1.0000
COPB1	NM_016451	11.25491702	11.0229106	11.29818686	11.38954444	P	P	P	P	11.41444234	11.3224217	11.24896288	11.26729201	P	P	P	P	12.66255343	12.67530422	12.64815711	12.60109459	P	P	P	P	0.0463	0.9999	0.2684	0.3743	0.0336	0.0384	1.0000	1.0000	0.3895
COPB2	NM_004766	10.8313019	10.86198619	10.61037085	10.64151016	P	P	P	P	10.744397	10.69255551	10.71499812	10.74976718	P	P	P	P	11.13154478	11.20883827	11.12583863	11.04275782	P	P	P	P	0.9156	0.0062	0.0145	0.6486	0.8356	0.9059	0.9758	1.0000	0.6217
COPE	NM_007263	9.984368466	9.806051569	9.909781861	9.852446939	P	P	P	P	10.94253085	10.90427905	10.92589067	10.98571062	P	P	P	P	11.59637192	11.61104706	11.6074665	11.56108272	P	P	P	P	0.0954	0.6732	0.2165	0.7659	0.8745	0.3196	1.0000	1.0000	0.8491
COPG	NM_016128	6.066152984	6.74309782	6.703644153	6.423382276	P	P	P	P	7.621597195	7.510490207	7.441294268	7.564275018	P	P	P	P	7.67484495	7.658308497	7.647984732	7.706160172	P	P	P	P	0.3331	0.3457	0.7431	0.6164	0.1562	0.5426	1.0000	1.0000	1.0000
COPG2	NM_012133	2.467443898	2.474528709	2.526821647	2.531181668	A	A	A	A	3.815076823	4.102179306	3.775664139	3.879125482	P	P	P	P	4.607597325	4.543202503	4.348782832	4.369787595	P	P	A	A	0.9881	0.5845	0.4960	0.0469	0.8731	0.4868	1.0000	0.2795	0.2800
COPS2	NM_004236	10.71760457	11.0147321	11.1728308	11.263784	P	P	P	P	11.62535845	11.53448316	11.30311317	11.23044259	P	P	P	P	11.12674829	11.04894168	10.95288382	10.94551138	P	P	P	P	0.0011	0.0000	0.0000	0.3091	0.0005	0.0001	0.5558	0.0287	0.0168
COPS3	NM_003653	9.298198219	9.008278696	8.952791127	8.565179779	P	P	P	P	10.48694369	10.33441733	9.995383228	9.875660632	P	P	P	P	10.38962872	10.38985428	10.17261264	10.1676566	P	P	P	P	0.0863	0.0301	0.0001	0.3305	0.0010	0.0001	1.0000	0.0400	0.0263
COPS4	NM_016129	9.043741746	8.804337066	8.880594047	8.724329627	P	P	P	P	9.587659347	9.527715546	9.402746132	9.33565329	P	P	P	P	10.48404378	10.48551971	10.28489301	10.16481826	P	P	P	P	0.0239	0.1149	0.0023	0.9409	0.0914	0.0174	1.0000	0.0227	0.0012
COPS5	NM_006837	9.663504822	9.290197972	9.241119213	9.416280381	P	P	P	P	10.67090822	10.60789678	10.5503333	10.34227445	P	P	P	P	10.41924408	10.48687169	10.37296838	10.44417841	P	P	P	P	0.0548	0.0228	0.2069	0.9144	0.3110	0.0043	0.8746	1.0000	1.0000
COPS6	NM_006833	7.305813982	7.200290319	7.031236279	6.981263814	P	P	P	P	9.99140337	9.951068754	10.02511435	10.06956613	P	P	P	P	10.02897333	10.03939246	9.942544641	9.938300758	P	P	P	P	0.6042	0.0303	0.0102	0.4945	0.4764	0.0324	1.0000	0.4013	0.2945
COPS7A	NM_016319	7.74437679	7.481574428	7.460292676	7.516802949	P	P	P	P	10.21038994	10.13783524	10.13696653	10.16154897	P	P	P	P	9.156416162	9.100622247	9.041381426	9.011358212	P	P	P	P	0.2714	0.1933	0.3241	0.6339	0.4712	0.4466	1.0000	0.6907	0.4136
COPS7B	NM_022730	6.906714978	7.112738351	6.942555845	6.659270148	P	P	P	P	6.484683247	6.306323942	6.194017562	5.874725231	P	P	P	P	4.662584443	4.721188499	4.668485032	4.626841808	P	P	A	A	0.7190	0.9999	0.5270	0.9050	0.4128	0.0337	1.0000	1.0000	1.0000
COPS8	NM_006710	8.618865984	8.657684209	8.652905463	8.583722773	P	P	P	P	9.713263769	9.699393744	9.720908243	9.778157533	P	P	P	P	8.35731884	8.359957088	8.362449283	8.350056911	P	P	P	P	0.5770	0.6595	0.5958	0.9996	0.8851	0.0249	1.0000	1.0000	1.0000
COPZ1	NM_016057	8.680834316	8.303004031	8.005112952	7.997161959	P	P	P	P	10.26872317	10.25080855	10.07730155	10.07826974	P	P	P	P	10.08447286	10.1081132	10.06708927	10.0694911	P	P	P	P	0.0001	0.0000	0.0000	0.9996	0.0282	0.0194	1.0000	1.0000	1.0000
COPZ2	NM_016429	3.081405607	3.175659769	3.217902025	3.162933719	A	A	A	A	9.373749203	9.375784023	9.386832225	9.590743722	P	P	P	P	5.411388825	5.429537859	5.447728584	5.413463401	A	A	A	A	0.9052	0.7612	0.9389	0.9996	0.9403	0.0542	1.0000	0.9496	1.0000
COQ10A	NM_144576	5.841316717	5.275149141	5.004626667	5.124428518	P	P	A	A	6.324562679	6.269386068	6.213189067	6.284441334	P	P	P	P	4.873265394	5.141935709	4.7758804	4.933510413	A	A	A	A	0.2637	0.0549	0.0996	0.7472	0.1402	0.4790	0.2975	0.9782	1.0000
